,deviceCategory,channelGrouping,PageDepth,sessionDuration,transactions,operatingSystem,landingPageKeyWord,fuente,transporte
14455,desktop,Direct,10,266.0,0,Windows,home,(direct),(none)
14456,desktop,Organic Search,2,3.0,0,Windows,home,google,organic
14457,desktop,Paid Search,4,31.0,0,Windows,product,google,cpc
14458,desktop,Organic Search,3,14.0,0,Windows,home,google,organic
14459,desktop,Paid Search,4,569.0,0,Macintosh,product,google,cpc
14460,desktop,Direct,4,1566.0,0,Windows,home,(direct),(none)
14461,desktop,Organic Search,10,86.0,0,Windows,home,google,organic
14462,desktop,Organic Search,3,264.0,0,Windows,home,google,organic
14463,desktop,Organic Search,6,242.0,0,Windows,home,google,organic
14464,desktop,Organic Search,3,19.0,0,Windows,home,google,organic
14465,desktop,Organic Search,39,1169.0,0,Windows,home,google,organic
14466,desktop,Paid Search,3,18.0,0,Windows,home,google,cpc
14467,desktop,Organic Search,4,101.0,0,Windows,home,google,organic
14468,desktop,Organic Search,13,177.0,0,Windows,home,google,organic
14469,desktop,Direct,7,100.0,0,Windows,home,(direct),(none)
14470,desktop,Direct,7,100.0,0,Windows,home,(direct),(none)
14471,desktop,Direct,3,30.0,0,Windows,home,(direct),(none)
14472,desktop,Organic Search,5,69.0,0,Windows,search,google,organic
14473,desktop,Organic Search,6,94.0,0,Windows,search,google,organic
14474,desktop,Organic Search,2,12.0,0,Windows,search,google,organic
14475,desktop,Organic Search,2,4.0,0,Windows,search,google,organic
14476,desktop,Organic Search,27,1493.0,0,Windows,search,google,organic
14477,desktop,Organic Search,4,107.0,0,Windows,search,google,organic
14478,desktop,Organic Search,2,4.0,0,Windows,search,google,organic
14479,desktop,Organic Search,8,643.0,0,Windows,search,google,organic
14480,desktop,Organic Search,6,158.0,0,Windows,search,google,organic
14481,desktop,Organic Search,4,80.0,0,Windows,home,google,organic
14482,desktop,Organic Search,4,116.0,0,Windows,search,google,organic
14483,desktop,Organic Search,2,1522.0,0,Windows,search,google,organic
14484,desktop,Organic Search,4,47.0,0,Windows,search,google,organic
14485,desktop,Organic Search,13,178.0,0,Windows,search,google,organic
14486,desktop,Organic Search,10,1345.0,0,Windows,search,google,organic
14487,desktop,Organic Search,2,84.0,0,Windows,search,google,organic
14488,desktop,Organic Search,8,258.0,0,Windows,search,google,organic
14489,desktop,Organic Search,3,39.0,0,Windows,search,google,organic
14490,desktop,Organic Search,7,59.0,0,Windows,home,google,organic
14491,desktop,Organic Search,17,616.0,0,Windows,search,google,organic
14492,desktop,Organic Search,6,90.0,0,Windows,search,google,organic
14493,desktop,Organic Search,7,98.0,0,Macintosh,home,google,organic
14494,desktop,Paid Search,2,1343.0,0,Windows,product,google,cpc
14495,desktop,Organic Search,7,71.0,0,Windows,home,google,organic
14496,desktop,Direct,3,19.0,0,Windows,home,(direct),(none)
14497,desktop,Organic Search,2,103.0,0,Windows,home,google,organic
14498,desktop,Paid Search,10,300.0,0,Windows,product,google,cpc
14499,desktop,Direct,3,12.0,0,Windows,home,(direct),(none)
14500,desktop,Direct,3,18.0,0,Windows,home,(direct),(none)
14501,desktop,Organic Search,3,47.0,0,Macintosh,home,google,organic
14502,desktop,Organic Search,11,150.0,0,Windows,home,google,organic
14503,desktop,Paid Search,2,22.0,0,Windows,product,google,cpc
14504,desktop,Paid Search,18,1763.0,0,Windows,product,google,cpc
14505,desktop,Direct,6,85.0,0,Windows,home,(direct),(none)
14506,desktop,Direct,16,202.0,0,Windows,home,(direct),(none)
14507,desktop,Organic Search,19,216.0,0,Windows,home,google,organic
14508,desktop,Organic Search,5,117.0,0,Windows,home,google,organic
14509,desktop,Organic Search,8,239.0,0,Windows,home,google,organic
14510,desktop,Organic Search,13,129.0,0,Macintosh,home,google,organic
14511,desktop,Organic Search,12,474.0,0,Windows,home,google,organic
14512,desktop,Direct,8,74.0,0,Macintosh,home,(direct),(none)
14513,desktop,Organic Search,3,48.0,0,Windows,home,google,organic
14514,desktop,Organic Search,12,85.0,0,Windows,home,google,organic
14515,desktop,Organic Search,8,57.0,0,Windows,home,google,organic
14516,desktop,Organic Search,19,239.0,0,Windows,home,google,organic
14517,desktop,Organic Search,9,159.0,0,Windows,home,google,organic
14518,desktop,Organic Search,12,208.0,0,Windows,home,google,organic
14519,desktop,Organic Search,6,404.0,1,Windows,home,google,organic
14520,desktop,Organic Search,6,478.0,0,Windows,home,google,organic
14521,desktop,Organic Search,10,1176.0,0,Windows,home,google,organic
14522,desktop,Organic Search,10,228.0,0,Windows,home,google,organic
14523,desktop,Organic Search,2,11.0,0,Macintosh,home,google,organic
14524,desktop,Organic Search,20,174.0,0,Macintosh,home,google,organic
14525,desktop,Organic Search,20,753.0,0,Windows,home,google,organic
14526,desktop,Organic Search,16,220.0,0,Windows,home,google,organic
14527,desktop,Paid Search,7,37.0,0,Macintosh,product,google,cpc
14528,desktop,Organic Search,3,19.0,0,Windows,home,google,organic
14529,desktop,Paid Search,4,351.0,0,Macintosh,product,google,cpc
14530,desktop,Organic Search,5,73.0,0,Windows,home,google,organic
14531,desktop,Organic Search,10,210.0,0,Macintosh,home,google,organic
14532,desktop,Paid Search,8,1052.0,1,Windows,product,google,cpc
14533,desktop,Paid Search,2,13.0,0,Windows,product,google,cpc
14534,desktop,Organic Search,4,33.0,0,Windows,home,google,organic
14535,desktop,Direct,12,129.0,0,Windows,home,(direct),(none)
14536,desktop,Organic Search,5,542.0,0,Windows,home,google,organic
14537,desktop,Paid Search,4,29.0,0,Windows,product,google,cpc
14538,desktop,Paid Search,7,1562.0,0,Windows,home,google,cpc
14539,desktop,Paid Search,5,162.0,0,Windows,home,google,cpc
14540,desktop,Paid Search,14,791.0,0,Windows,home,google,cpc
14541,desktop,Organic Search,20,438.0,0,Windows,home,google,organic
14542,desktop,Paid Search,8,170.0,0,Windows,home,google,cpc
14543,desktop,Organic Search,37,122.0,0,Windows,home,google,organic
14544,desktop,Organic Search,6,621.0,0,Windows,home,google,organic
14545,desktop,Direct,11,74.0,0,Windows,home,(direct),(none)
14546,desktop,Direct,4,86.0,0,Windows,home,(direct),(none)
14547,desktop,Direct,3,317.0,0,Windows,home,(direct),(none)
14548,desktop,Paid Search,8,1979.0,0,Macintosh,home,google,cpc
14549,desktop,Paid Search,3,22.0,0,Macintosh,home,google,cpc
14550,desktop,Organic Search,11,478.0,0,Windows,home,google,organic
